.0ð5,-0.03,1.00
~#6,12288,0.10,-0.55,-0.03,1.00
~#6,12289,0.10,-0.82,-0.03,1.00
~#6,12290,0.11,-0.61,-0.03,1.00
~#6,12291,0.10,-0.95,-0.03,1.00
~#6,12288,0.10,-0.55,-0.03,1.00
~#6,12289,0.10,-0.82,-0.03,1.00
~#6,12290,0.11,-0.61,-0.03,1.00
~#6,12291,0.10,-0.9™,-0.03,1.00
~#6,12288,0.10,-0.55,-0.03,1.00
~#6,12289,0.10,-0.82,-0.03,1.00
~#6,12290,0.11,-0.61,-0.03,1.00
~#6,12291,0.10,-0.9™,rbjrbrj
~#6,12320,0.11,-0.71,-0.03,1.00
~#6,12321,0.11,-0.67,-0.03,1.00
~#6,12322,0.11,-0.69,-0.03,0.99
~#6,12323,0.11,-0.72,-0.03,1.00
~#6,12324,0.11,-0.86,-0.03,1.00
~#6,12325,0.11,-0.96,-0.03,1.00
~#6,12326,0.11,-0.67,-0.03,0.99
~#6,12327,0.11,-0.91,-0.03,1.00
~#6,12328,0.11,-1.02,-0.03,0.98
~#6,12329,0.11,-0.91,-0.03,1.00
~#6,12330,0.11,-0.67,-0.03,1.00
~#6,12331,0.11,-0.78,-0.03,1.00
~#6,12332,0.11,-0.79,-0.03,1.00
~#6,12333,0.11,-0.87,-0.02,1.00
~#6,12334,0.10,-0.69,-0.03,1.00
~#6,12335,0.11,-0.77,-0.03,1.00
~#6,12336,0.11,-0.61,-0.03,1.00
~#6,12337,0.11,-0.76,-0.03,1.00
~#6,12338,0.11,-0.84,-0.03,1.00
~#6,12339,0.10,-0.83,-0.03,1.01
~#6,12340,0.10,-0.84,-0.03,1.00
~#6,12341,0.10,-0.80,-0.03,1.00
~#6,12342,0.10,-0.82,-0.03,1.00
~#6,12343,0.10,-0.62,-0.03,1.00
~#6,12344,0.10,-0.78,-0.03,1.00
~#6,12345,0.10,-0.73,-0.03,1.00
~#6,12346,0.10,-0.61,-0.03,1.00
~#6,12347,0.10,-0.77,-0.03,1.00
~#6,12348,0.10,-0.73,-0.03,1.00
~#6,12349,0.10,-0.67,-0.03,1.00
~#6,12350,0.11,-0.86,-0.03,1.00
~#6,12351,0.10,-0.66,-0.03,1.00
~#6,12352,0.10,-0.68,-0.03,1.00
~#6,12353,0.11,-0.67,-0.03,1.00
~#6,12354,0.10,-0.68,-0.03,0.99
~#6,12355,0.10,-0.79,-0.03,1.00
~#6,12356,0.10,-0.72,-0.03,1.00
~#6,12357,0.11,-0.79,-0.03,1.00
~#6,12358,0.11,-0.67,-0.02,1.00
~#6,12359,0.11,-0.73,-0.03,1.01
~#6,12360,0.11,-0.70,-0.03,1.02
~#6,12361,0.11,-0.62,-0.03,1.00
~#6,12362,0.11,-1.04,-0.03,1.00
~#6,12363,0.11,-0.79,-0.03,1.00
~#6,12364,0.11,-0.73,-0.03,1.00
~#6,12365,0.11,-0.69,-0.03,1.00
~#6,12366,0.11,-0.67,-0.03,1.00
~#6,12367,0.11,-0.62,-0.03,1.00
~#6,12368,0.11,-0.78,-0.03,1.00
~#6,12369,0.11,-0.61,-0.03,1.00
~#6,12370,0.11,-0.73,-0.03,1.00
~#6,12371,0.11,-0.71,-0.03,1.00
~#5,12372,0.11,-0.68,-0.03,1.00
~#5,12373,0.11,-0.98,-0.03,1.02
~#5,12374,0.11,-0.85,-0.03,1.00
~#5,12375,0.11,-0.61,-0.03,1.00
~#5,12376,0.11,-0.95,-0.03,1.00
~#6,12377,0.11,-0.99,-0.03,0.99
~#6,12378,0.12,-0.70,-0.03,1.00
~#7,12379,0.11,-0.58,-0.03,0.99
~#5,12380,0.11,-0.52,-0.03,1.00
~#5,12381,0.11,-0.80,-0.03,1.00
~#6,12382,0.11,-0.80,-0.03,0.99
~#7,12383,0.11,-0.68,-0.03,1.00
~#6,12384,0.11,-0.92,-0.03,1.00
~#5,12385,0.11,-0.73,-0.03,1.00
~#5,12386,0.11,-0.63,-0.03,1.00
~#4,12387,0.11,-0.73,-0.03,1.00
~#4,12388,0.11,-0.54,-0.03,1.00
~#4,12389,0.11,-0.65,-0.03,1.00
~#4,12390,0.11,-0.93,-0.03,1.00
~#4,12391,0.11,-0.78,-0.03,1.00
~#4,12392,0.11,-0.63,-0.03,1.00
~#4,12393,0.11,-0.84,-0.03,1.00
~#4,12394,0.12,-0.67,-0.03,1.00
~#4,12395,0.12,-0.57,-0.03,1.00
~#4,12396,0.11,-0.74,-0.03,1.00
~#4,12397,0.11,-0.70,-0.03,1.00
~#4,12398,0.11,-0.73,-0.03,1.00
~#4,12399,0.11,-0.81,-0.03,1.00
~#4,12400,0.11,-0.87,-0.03,1.00
~#4,12401,0.11,-0.79,-0.03,1.00
~#4,12402,0.11,-0.84,-0.03,1.00
~#4,12403,0.11,-0.53,-0.03,1.00
~#5,12404,0.11,-0.88,-0.03,1.00
~#6,12405,0.11,-0.75,-0.03,1.00
~#6,12406,0.11,-0.62,-0.03,1.00
~#6,12407,0.11,-0.40,-0.03,1.00
~#5,12408,0.11,-0.79,-0.03,1.00
~#5,12409,0.11,-0.94,-0.02,1.00
~#5,12410,0.11,-0.76,-0.03,1.00
~#5,12411,0.11,-0.67,-0.03,1.00
~#6,12412,0.11,-0.90,-0.03,1.00
~#7,12413,0.11,-0.73,-0.03,1.00
~#8,12414,0.11,-0.62,-0.03,1.00
~#8,12415,0.11,-0.55,-0.03,1.00
~#8,12416,0.11,-0.78,-0.03,1.00
~#8,12417,0.13,-0.71,-0.03,1.02
~#7,12418,0.11,-0.76,-0.03,1.00
~#7,12419,0.11,-0.64,-0.03,1.00
~#7,12420,0.11,-0.52,-0.03,1.00
~#6,12421,0.12,-0.81,-0.03,1.00
~#6,12422,0.11,-0.83,-0.03,1.00
~#6,12423,0.11,-0.74,-0.03,1.00
~#6,12424,0.11,-0.81,-0.03,1.00
~#6,12425,0.11,-0.73,-0.03,1.00
~#7,12426,0.11,-0.77,-0.03,1.00
~#7,12427,0.11,-0.64,-0.03,1.00
~#5,12428,0.11,-0.81,-0.04,1.00
~#5,12429,0.11,-0.67,-0.03,1.00
~#5,12430,0.11,-0.75,-0.03,1.00
~#5,12431,0.11,-0.67,-0.03,1.00
~#4,12432,0.11,-0.84,-0.03,1.00
~#4,12433,0.11,-0.67,-0.03,1.00
~#4,12434,0.11,-0.78,-0.03,1.00
~#3,12435,0.11,-0.84,-0.03,1.00
~#3,12436,0.12,-0.81,-0.03,1.02
~#4,12437,0.11,-0.78,-0.03,1.00
~#4,12438,0.11,-0.76,-0.03,1.00
~#4,12439,0.11,-0.82,-0.03,1.00
~#4,12440,0.11,-0.66,-0.03,1.01
~#4,12441,0.11,-0.79,-0.03,1.00
~#4,12442,0.11,-0.85,-0.02,1.00
~#4,12443,0.11,-0.93,-0.03,1.00
~#3,12444,0.11,-0.80,-0.03,1.00
~#4,12445,0.11,-0.73,-0.03,1.00
~#4,12446,0.11,-0.84,-0.03,1.00
~#3,12447,0.11,-0.67,-0.03,1.00
~#4,12448,0.11,-0.91,-0.03,1.00
~#4,12449,0.11,-0.87,-0.03,0.99
~#4,12450,0.11,-0.79,-0.03,1.00
~#4,12451,0.11,-0.72,-0.03,1.00
~#4,12452,0.11,-0.65,-0.03,1.00
~#3,12453,0.11,-0.74,-0.03,1.00
~#3,12454,0.11,-0.73,-0.03,1.00
~#2,12455,0.11,-0.76,-0.03,1.00
~#3,12456,0.11,-0.59,-0.03,1.00
~#3,12457,0.11,-0.42,-0.03,1.00
~#4,12458,0.11,-0.73,-0.03,1.00
~#5,12459,0.11,-0.53,-0.03,1.00
~#6,12460,0.11,-0.70,-0.03,1.00
~#7,12461,0.11,-0.83,-0.03,1.00
~#7,12462,0.11,-0.66,-0.03,1.00
~#7,12463,0.11,-0.59,-0.03,1.00
~#7,12464,0.11,-0.84,-0.03,1.00
~#7,12465,0.11,-1.00,-0.02,1.00
~#8,12466,0.11,-0.92,-0.03,1.00
~#7,12467,0.11,-0.78,-0.03,1.01
~#5,12468,0.11,-0.86,-0.03,0.99
~#5,12469,0.11,-0.80,-0.03,1.00
~#5,12470,0.11,-0.73,-0.03,1.00
~#5,12471,0.11,-0.70,-0.03,1.00
~#6,12472,0.11,-0.70,-0.03,1.00
~#6,12473,0.11,-0.82,-0.03,1.00
~#7,12474,0.11,-0.81,-0.03,1.00
~#8,12475,0.11,-0.68,-0.03,1.00
~#7,12476,0.11,-0.80,-0.03,1.00
~#6,12477,0.11,-0.83,-0.03,1.00
~#4,12478,0.11,-0.87,-0.03,1.00
~#5,12479,0.11,-0.68,-0.03,1.00
~#5,12480,0.12,-0.78,-0.03,1.00
~#6,12481,0.11,-0.67,-0.03,1.00
~#7,12482,0.11,-0.82,-0.03,1.00
~#6,12483,0.11,-0.83,-0.03,1.00
~#5,12484,0.11,-0.59,-0.03,1.00
~#5,12485,0.11,-0.73,-0.03,1.00
~#4,12486,0.12,-0.71,-0.03,1.00
~#4,12487,0.12,-0.83,-0.03,1.00
~#5,12488,0.11,-0.64,-0.03,1.00
~#5,12489,0.11,-0.39,-0.03,1.00
~#4,12490,0.12,-0.76,-0.03,1.00
~#4,12491,0.12,-0.60,-0.03,1.00
~#6,12492,0.12,-0.64,-0.03,1.00
~#6,12493,0.12,-0.51,-0.03,1.00
~#6,12494,0.12,-0.64,-0.03,1.01
~#7,12495,0.11,-0.82,-0.03,1.00
~#7,12496,0.12,-0.69,-0.03,1.00
~#7,12497,0.12,-0.70,-0.03,1.00
~#6,12498,0.11,-0.78,-0.03,1.00
~#5,12499,0.12,-0.55,-0.03,1.00
~#4,12500,0.12,-0.68,-0.03,1.00
~#4,12501,0.12,-0.59,-0.02,1.00
~#4,12502,0.12,-0.82,-0.03,1.00
~#5,12503,0.11,-0.66,-0.03,1.00
~#4,12504,0.11,-0.75,-0.03,1.00
~#5,12505,0.12,-0.65,-0.03,1.00
~#5,12506,0.12,-0.66,-0.03,1.00
~#5,12507,0.12,-0.75,-0.03,1.00
~#5,12508,0.12,-0.72,-0.03,1.00
~#6,12509,0.12,-0.76,-0.03,1.00
~#6,12510,0.11,-0.73,-0.03,1.00
~#6,12511,0.12,-0.52,-0.03,1.00
~#6,12512,0.12,-0.64,-0.03,1.00
~#6,12513,0.12,-0.62,-0.03,1.00
~#6,12514,0.11,-0.76,-0.03,1.00
~#7,12515,0.11,-0.53,-0.03,1.00
~#7,12516,0.12,-0.86,-0.03,1.00
~#7,12517,0.12,-0.67,-0.03,1.00
~#7,12518,0.12,-1.00,-0.05,1.00
~#6,12519,0.11,-0.65,-0.03,1.00
~#6,12520,0.11,-0.71,-0.03,1.00
~#5,12521,0.11,-0.67,-0.03,1.00
~#5,12522,0.12,-0.84,-0.03,1.00
~#6,12523,0.11,-0.81,-0.03,1.00
~#6,12524,0.11,-0.70,-0.03,1.00
~#6,12525,0.12,-0.43,-0.03,1.00
~#5,12526,0.12,-0.38,-0.03,1.00
~#4,12527,0.11,-0.96,-0.03,1.00
~#4,12528,0.11,-0.89,-0.03,1.00
~#4,12529,0.11,-0.66,-0.03,1.00
~#5,12530,0.11,-0.80,-0.03,1.00
~#4,12531,0.12,-0.46,-0.03,1.00
~#4,12532,0.12,-0.87,-0.03,1.00
~#4,12533,0.12,-0.56,-0.03,1.00
~#4,12534,0.12,-0.84,-0.03,1.00
~#4,12535,0.12,-0.66,-0.03,1.00
~#4,12536,0.12,-0.75,-0.03,1.00
~#4,12537,0.12,-0.70,-0.03,1.00
~#4,12538,0.12,-0.73,-0.03,1.00
~#3,12539,0.12,-0.65,-0.03,1.00
~#4,12540,0.12,-0.60,-0.03,1.00
~#4,12541,0.12,-0.62,-0.03,1.00
~#4,12542,0.12,-0.46,-0.03,1.00
~#4,12543,0.12,-0.67,-0.03,1.00
~#4,12544,0.12,-0.76,-0.02,1.00
~#5,12545,0.12,-0.69,-0.03,1.00
~#6,12546,0.12,-0.57,-0.03,1.00
~#6,12547,0.12,-0.67,-0.03,1.00
~#7,12548,0.12,-0.71,-0.03,1.00
~#7,12549,0.12,-0.70,-0.03,1.00
~#7,12550,0.12,-0.64,-0.03,1.00
~#8,12551,0.12,-0.90,-0.03,1.00
~#8,12552,0.12,-0.60,-0.03,0.99
~#7,12553,0.12,-0.84,-0.03,1.00
~#7,12554,0.12,-0.66,-0.03,1.00
~#7,12555,0.12,-0.96,-0.03,1.00
~#7,12556,0.12,-0.62,-0.03,1.00
~#7,12557,0.12,-0.66,-0.03,1.00
~#7,12558,0.12,-0.88,-0.03,1.00
~#6,12559,0.11,-0.59,-0.03,1.00
~#5,12560,0.12,-0.60,-0.03,1.00
~#4,12561,0.11,-1.02,-0.03,1.00
~#4,12562,0.12,-0.59,-0.03,1.00
~#4,12563,0.11,-0.68,-0.03,1.00
~#4,12564,0.11,-0.64,-0.03,1.00
~#4,12565,0.11,-0.53,-0.03,0.98
~#4,12566,0.12,-0.69,-0.03,1.00
~#5,12567,0.12,-0.55,-0.03,1.00
~#5,12568,0.11,-0.67,-0.03,1.00
~#8,12569,0.12,-0.64,-0.03,1.00
~#8,12570,0.12,-0.93,-0.03,1.00
~#7,12571,0.11,-0.63,-0.03,1.00
~#7,12572,0.11,-0.79,-0.03,1.00
~#7,12573,0.11,-0.73,-0.03,1.00
~#8,12574,0.11,-0.79,-0.03,1.00
~#8,12575,0.11,-0.57,-0.03,1.00
~#8,12576,0.11,-0.82,-0.02,1.00
~#8,12577,0.11,-0.83,-0.03,1.00
~#7,12578,0.11,-0.89,-0.03,1.00
~#6,12579,0.11,-0.79,-0.03,1.00
~#6,12580,0.11,-0.74,-0.03,1.00
~#5,12581,0.11,-0.65,-0.03,1.00
~#4,12582,0.11,-0.67,-0.03,1.00
~#4,12583,0.11,-0.82,-0.03,1.00
~#4,12584,0.11,-0.80,-0.03,1.00
~#5,12585,0.11,-0.74,-0.03,1.00
~#4,12586,0.11,-0.64,-0.03,1.00
~#5,12587,0.11,-0.70,-0.03,1.00
~#4,12588,0.11,-0.59,-0.03,1.00
~#3,12589,0.11,-0.75,-0.03,1.00
~#6,12590,0.11,-0.82,-0.03,1.00
~#7,12591,0.10,-0.83,-0.03,1.00
~#6,12592,0.10,-0.82,-0.03,1.00
~#6,12593,0.10,-0.75,-0.03,1.00
~#6,12594,0.10,-0.67,-0.03,1.00
~#7,12595,0.11,-0.79,-0.03,1.00
~#7,12596,0.10,-0.83,-0.03,1.00
~#7,12597,0.10,-0.79,-0.03,1.00
~#7,12598,0.11,-0.89,-0.03,1.01
~#7,12599,0.10,-0.73,-0.03,1.00
~#7,12600,0.10,-0.79,-0.03,1.00
~#6,12601,0.10,-0.59,-0.03,1.00
~#5,12602,0.11,-0.73,-0.03,1.00
~#4,12603,0.10,-0.76,-0.03,1.00
~#4,12604,0.11,-0.58,-0.03,1.00
