bjrbrj
!~"8,8661,0.00,-0.80,-0.01,1.00
"~"8,8662,0.00,-0.50,-0.02,1.00
#~"8,8663,0.00,-0.87,-0.01,1.00
~"8,8664,0.00,-0.93,-0.02,1.00
~"8,8665,0.00,-0.90,-0.01,1.00
~"8,8666,0.00,-0.84,-0.01,1.00
~"8,8667,0.00,-0.69,-0.01,1.00
~"8,8668,0.00,-0.99,-0.02,1.00
~"8,8669,0.00,-0.85,-0.01,1.00
~"8,8670,0.00,-0.64,-0.01,1.00
~"8,8671,0.00,-0.63,-0.01,1.00
~"8,8672,0.00,-0.89,-0.01,1.00
~"8,8673,0.00,-0.90,-0.01,1.00
~"8,8674,0.00,-0.76,-0.02,1.00
~"8,8675,0.00,-0.90,-0.01,1.01
~"8,8676,0.00,-0.67,-0.01,1.00
~"8,8677,0.00,-0.66,-0.01,1.00
~"8,8678,0.00,-0.60,-0.01,1.00
~"8,8679,0.00,-0.52,-0.01,1.00
~"8,8680,0.00,-0.80,-0.01,1.00
!~"8,8681,0.00,-0.90,-0.01,1.00
~"8,8682,0.00,-0.84,-0.01,1.00
~"8,8683,0.00,-0.82,-0.02,1.00
~"8,8684,0.00,-0.67,-0.01,1.00
~"8,8685,0.00,-0.67,-0.02,1.00
~"9,8686,0.00,-0.75,-0.02,1.01
~"9,8687,0.00,-0.76,-0.01,1.00
~"9,8688,0.00,-0.86,-0.01,1.00
~"9,8689,0.00,-0.75,-0.01,1.00
}3~"9,8690,0.00,-0.72,-0.02,1.00
~"9,8691,0.00,-0.83,-0.01,1.00
~":,8692,0.00,-0.90,-0.01,1.00
~"9,8693,0.00,-0.56,-0.01,1.00
~":,8694,0.00,-0.91,-0.01,1.00
~"9,8695,0.00,-0.58,-0.02,1.00
~"9,8696,0.00,-0.77,-0.01,1.00
}3~"9,8697,0.00,-0.80,-0.01,1.00
~"8,8698,0.00,-0.64,-0.01,1.00
~"8,8699,0.00,-0.76,-0.01,1.00
~"8,8700,0.00,-0.70,-0.02,1.00
(~"8,8701,0.00,-0.56,-0.01,1.00
$~"8,8702,0.00,-0.70,-0.01,1.00
'~"8,8703,0.00,-0.77,-0.01,1.01
~"8,8704,0.00,-0.70,-0.01,1.00
%~"8,8705,0.00,-0.76,-0.01,1.01
~"8,8706,0.00,-0.77,-0.01,1.00
~"8,8707,0.00,-0.43,-0.01,1.00
"~"8,8708,0.00,-0.61,-0.01,1.00
!~"8,8709,0.00,-0.76,-0.01,1.00
~"8,8710,0.00,-0.75,-0.01,1.00
#~"8,8711,0.00,-0.82,-0.00,1.00
%~"8,8712,0.00,-0.63,-0.02,0.99
~"8,8713,0.00,-0.75,-0.01,1.00
~"8,8714,0.00,-0.78,-0.01,1.00
~"8,8715,0.00,-0.85,-0.01,1.00
~"8,8716,0.00,-0.68,-0.01,1.00
~"8,8717,0.00,-0.71,-0.01,1.00
~"8,8718,0.00,-0.76,-0.01,1.01
~"8,8719,0.00,-0.70,-0.01,1.00
~"8,8720,0.00,-0.87,-0.02,1.00
~"8,8721,0.00,-0.85,-0.01,1.00
~"9,8722,0.00,-0.88,-0.01,1.00
~"8,8723,0.00,-0.50,-0.01,1.00
&~"9,8724,0.00,-0.61,-0.02,1.00
!~"9,8725,0.00,-0.84,-0.01,1.00
~"9,8726,0.00,-0.85,-0.01,1.00
~"9,8727,0.00,-0.61,-0.01,1.00
~"9,8728,0.00,-0.90,-0.01,1.00
~"9,8729,0.00,-0.58,-0.02,1.00
~"9,8730,0.00,-0.77,-0.01,1.00
~"9,8731,0.00,-0.56,-0.01,1.00
~"9,8732,0.00,-0.64,-0.01,1.00
~"9,8733,0.00,-0.55,-0.03,1.00
~"9,8734,0.00,-0.66,-0.02,1.00
~"9,8735,0.00,-0.73,-0.01,1.00
~"9,8736,0.00,-0.64,-0.01,1.00
~"9,8737,0.00,-0.84,-0.01,1.00
~"9,8738,0.00,-0.73,-0.01,0.99
~"9,8739,0.00,-0.66,-0.01,1.00
~"9,8740,0.00,-0.73,-0.02,1.00
~"9,8741,0.00,-0.60,-0.02,1.00
#~"9,8742,0.00,-0.75,-0.01,1.00
~"9,8743,0.00,-0.53,-0.01,1.00
~"9,8744,0.00,-0.81,-0.02,1.01
~"9,8745,0.00,-0.75,-0.01,1.00
~"9,8746,0.00,-1.01,-0.01,1.00
#~"9,8747,0.00,-0.74,-0.01,1.00
~"9,8748,0.00,-0.73,-0.01,1.00
~"9,8749,0.00,-0.76,-0.01,1.00
~"9,8750,0.00,-1.07,-0.02,1.00
!~"9,8751,0.00,-0.81,-0.02,1.00
~"9,8752,0.00,-0.82,-0.01,1.00
~"9,8753,0.00,-0.77,-0.01,1.00
~"8,8754,0.00,-0.65,-0.01,1.01
~"9,8755,0.00,-0.84,-0.01,1.00
~"8,8756,0.00,-0.72,-0.01,1.00
~"8,8757,0.00,-0.84,-0.02,1.00
~"8,8758,0.00,-0.70,-0.01,1.01
~"8,8759,0.00,-0.55,-0.01,1.01
~"8,8760,0.00,-0.89,-0.01,1.00
~"8,8761,0.00,-0.73,-0.01,1.00
~"8,8762,0.00,-0.71,-0.02,1.00
~"8,8763,0.00,-0.83,-0.01,1.00
~"8,8764,0.00,-0.78,-0.01,0.99
~"8,8765,0.00,-0.84,-0.01,1.00
~"8,8766,0.00,-0.75,-0.01,1.01
~"8,8767,0.00,-0.52,-0.01,1.00
~"8,8768,0.00,-0.65,-0.02,1.00
~"8,8769,0.00,-0.77,-0.02,1.01
}1~"8,8770,0.00,-0.70,-0.01,1.00
"~"8,8771,0.00,-0.56,-0.02,1.00
~"8,8772,0.00,-0.63,-0.01,1.00
~"8,8773,0.00,-0.70,-0.01,1.00
~"8,8774,0.00,-0.78,-0.01,1.00
~"8,8775,0.00,-0.73,-0.01,1.00
~"8,8776,0.00,-0.88,-0.02,1.00
~"8,8777,0.00,-0.55,-0.01,1.00
~"8,8778,0.00,-0.79,-0.02,1.00
~"8,8779,0.00,-0.70,-0.01,1.00
~"7,8780,0.00,-0.68,-0.01,1.00
~"7,8781,0.00,-0.55,-0.02,1.00
~"7,8782,0.00,-0.67,-0.01,1.00
~"7,8783,0.00,-0.64,-0.01,1.01
~"8,8784,0.00,-0.49,-0.01,1.00
~"8,8785,0.00,-0.60,-0.00,1.00
~"8,8786,0.00,-0.74,-0.01,1.00
~"8,8787,0.00,-0.85,-0.01,1.00
~"8,8788,0.00,-0.83,-0.01,1.00
~"7,8789,0.00,-0.79,-0.01,1.00
~"8,8790,0.00,-0.65,-0.01,1.00
~"8,8791,0.00,-0.89,-0.02,1.00
~"8,8792,0.00,-0.68,-0.02,1.00
~"8,8793,0.00,-0.74,-0.01,1.00
~"8,8794,0.00,-0.80,-0.01,1.00
~"8,8795,0.00,-0.65,-0.01,1.01
~"8,8796,0.00,-0.64,-0.01,1.00
~"8,8797,0.00,-0.57,-0.01,1.00
~"8,8798,0.00,-0.87,-0.01,1.00
~"8,8799,0.00,-0.60,-0.01,1.00
~"8,8800,0.00,-0.80,-0.02,1.00
&~"8,8801,0.00,-0.30,-0.01,1.00
+~"8,8802,0.00,-0.74,-0.01,1.00
"~"8,8803,0.00,-0.75,-0.02,1.00
~"8,8804,0.00,-0.59,-0.01,1.00
~"8,8805,0.00,-0.61,-0.01,1.00
#~"8,8806,0.00,-0.66,-0.02,1.00
~"8,8807,0.00,-0.89,-0.00,1.00
~"8,8808,0.00,-0.55,-0.02,1.00
~"8,8809,0.00,-0.88,-0.01,1.00
~"8,8810,0.00,-0.80,-0.01,1.00
&~"8,8811,0.00,-0.81,-0.00,1.00
%~"8,8812,0.00,-0.74,-0.01,1.00
!~"8,8813,0.00,-0.55,-0.01,1.00
!~"7,8814,0.00,-0.65,-0.01,1.00
~"7,8815,0.00,-0.64,-0.01,1.00
~"7,8816,0.00,-0.76,-0.01,1.00
~"8,8817,0.00,-0.73,-0.01,1.00
~"8,8818,0.00,-0.60,-0.02,1.00
~"8,8819,0.00,-0.69,-0.01,1.00
~"8,8820,0.00,-0.84,-0.02,1.00
~"8,8821,0.00,-0.61,-0.01,1.00
%~"8,8822,0.00,-0.65,-0.01,1.01
